Identifier,Submission Date,Water point Name,Woreda,Kebele,Parish,Village,Latitude,Longitude,DWD number of water point,Year of water point construction,Who funded the construction of this water point,Estimate the number of households who use this water point as their source of water,What is the main purpose for which people use water from this water point?,What is the main purpose for which people use water from this water point?--OTHER--,Is water used by vendors/collected to sell other places?,Are their livestock drinking facilities at the water point?,Type of water source,Public Tapstand - Name of Water Scheme Connected,Public Tapstand With Water Meter,Water Meter Functioning,Rain Water Harvesting Tank - Volume (L),Number of Taps/Spouts,Protected Spring Type,How many spouts does it have?,Borehole/Well Depth (m),Borehole/Well Diameter (In),Type of lifting device?,Handpump Type,What is the pipe material?,Is the water point currently functional?,Please rate the level of functionality,Specify the nature of the technical breakdowns,Duration of the current non-functionality (how long has it been out of service),How many days in total was the water facility out of service during the past one year?,How many hours per day is it possible to collect water from this source?,How many minutes does it take to fill a 20 Litre Jerry can?,Physical state of the Apron,Physical state of the pedestal,Physical state of Tap/ Spouts,Status of how the tap/ spout is currently being used,Physical state of drainage channel and soakpit,Physical state of the Pumphead,Physical state of the handle,Physical state of the retention wall,Physical state of the superstructure (building and door),Physical state of the plumbing works in the kiosk,How many rainwater harvesting tanks are present?,What is the total storage capacity of the tanks?,How many rainwater harvesting tanks are in USE?,What is the total storage volume of tanks IN USE?,What is the physical state of the gutters,What is the status of the filtration system?,What is the physical state of the filtration system,What is the Physical state of the MAIN tank,Please explain any other observable technical problems that require repairs,Are there any components of the well/ borehole that require total replacement?,Are there any components of the well/ borehole that require total replacement?--OTHER--,Are there any components of the protected spring that require total replacement?,Are there any components of the protected spring that require total replacement?--OTHER--,Are there any components of the public tapstand that require total replacement?,Are there any components of the public tapstand that require total replacement?--OTHER--,Are there any components of the kiosk that require total replacement?,Are there any components of the kiosk that require total replacement?--OTHER--,Are there any components of the rainwater harvesting system that require total replacement?,Are there any components of the rainwater harvesting system that require total replacement?--OTHER--,Are there any potential sources of contamination within 10 meters of the water point?,Is the catchment protected and are there any potential sources if contamination nearby?,Are there any potential sources of contamination to the rainwater system?,Is there concern about potential contamination of the water quality?,Is there concern about potential contamination of the water quality?--OTHER--,Are there any concerns about the COLOUR of the water?,Are there any concerns about the ODOUR/SMELL of the water?,Are there any concerns about the TASTE of the water?,Please any other concern about water quality,Who is responsible for daly operation of the water point?,Who is responsible for daly operation of the water point?--OTHER--,Is the care paid or unpaid?,Is there a WUC/ WSC for this water point?,Who is responsible for the overall management of this water point?,Is the WUC/ WSC currently active?,"In the last year, has the WUC/ WSC/ Management body organised any maintenance activities or repairs?","In the last year,has the WUC/WSC received any support or guidance from the sub-county or district government?",Number of members of the WUC/ WSC,Number of Active members on the WUC/WSC,Number of women on the WUC/WSC,"Number of women in key positions on the WUC/WSC (chair, secretary of finance)",Is the WUC/WSC a member of the Sub County Water Supply and Sanitation Board?,Does the WUC/WSC/operator keep records of the water meter readings or amount of water collected?,Does the WUC/WSC/operator keep financial records on income collected?,Does the WUC/WSC keep financial records on expenditure and/or a record of repairs?,Does the WUC/WSC have a bank account?,When were the last water quality tests done?,Does the operator keep financial records on expenditure and/or a record of repairs?,Has the WUC/WSC received any support or training from the Sub county or the district in the past year?,Do users pay for water?,How much is typically collected from each user when there is a breakdown or repair?,Type of tariff system,Type of tariff system--OTHER--,What is the monthly tariff?,What is the annual tariff?,What is the tariff per 20L jerry can?,% of Community Paying Tariffs,Are there any families or people in the village exempted from payment due to inability to pay?
grbh-1mxy-2jmn,20-03-2021 12:02:46 UTC,Awen nono,Agago,Lira Palwo TC,Pyergweng Ward,Awen,2.79933181,33.175391,36551,2011,NGO,25-50,Water for other household and domestic use,,Never,No,Deep borehole,,,,,,,,21,2,Handpump,,GI,Non-functional,Partially functioning works with some issues/ difficulties,,,More than 3 weeks total,8-16 hours,1-3 minutes,Fair (moderate),Good,,,poor,Good,Good,,,,,,,,,,,,some nats are missing,Drainage channel,,,,,,,,,,NONE-No contamination risk observed,,,Contamination from animals or human feces (e.g. latrines or OD),,Sometimes,Sometimes,Sometimes,its salty in taste,Caretaker,,Unpaid,Yes,WUC/ WSC,Yes,,No,7,3,3,2,No,,,Yes,No,Never,,No,No,,,,,,,,
jfmr-72qb-ac6y,20-03-2021 12:39:15 UTC,tangi gang oola,Agago,Lamiyo,Polcani,Ayam Central,2.78258126,33.1332364,,2012,NGO,25-50,Water for other household and domestic use,,Never,No,Deep borehole,,,,,,,,42,2,Handpump,,GI,Functional in use,Fully functioning at 100%,,,It was never broken down,8-16 hours,1-3 minutes,Poor,Good,,,poor,Good,Good,,,,,,,,,,,,pipes has taken long need repair,Drainage channel,,,,,,,,,,NONE-No contamination risk observed,,,No concern- water is clean,,Never,Never,Rarely,Good water,Caretaker,,Paid,Yes,WUC/ WSC,Yes,,No,9,6,4,2,Yes,No,Yes,Yes,No,3 months to 1 year ago,,Yes,Yes,,Fixed tariff per month,,1000,,,70,No
jfmr-72qb-ac6y,31-03-2021 18:22:20 UTC,tangi gang oola,Agago,Lamiyo,Polcani,Ayam Central,2.78258126,33.1332364,,2012,NGO,25-50,Water for other household and domestic use,,Never,No,Deep borehole,,,,,,,,42,2,Handpump,,GI,Functional in use,Fully functioning at 100%,,,It was never broken down,8-16 hours,1-3 minutes,Poor,Good,,,poor,Good,Good,,,,,,,,,,,,pipes has taken long need repair,Drainage channel,,,,,,,,,,NONE-No contamination risk observed,,,No concern- water is clean,,Never,Never,Rarely,Good water,Caretaker,,Paid,Yes,WUC/ WSC,Yes,,No,9,6,4,2,Yes,No,Yes,Yes,No,3 months to 1 year ago,,Yes,Yes,,Fixed tariff per month,,1000,,,70,No
pmeh-c0hs-7g7t,20-03-2021 12:58:03 UTC,wang anyakano,Agago,Lamiyo,Polcani,Ayam Central,2.78513623,33.1340291,,1996,NGO,more than 100,Water for other household and domestic use,,Never,Yes,Shallow well,,,,,,,,6,2,Handpump,,GI,Functional in use,,all parts of the shallow well,more than one year,,8-16 hours,1-3 minutes,Very poor,Very poor,,,poor,Very poor,Very poor,,,,,,,,,,,,all parts need repairs,Pedestal,all parts removed apart from pedestal,,,,,,,,,Rubbish nearby,,,,,,,,,Private operator,,,No,Unknown,,No,,,,,,,,,,,,,,,,,,,,,,
pmeh-c0hs-7g7t,31-03-2021 18:20:46 UTC,wang anyakano,Agago,Lamiyo,Polcani,Ayam Central,2.78513623,33.1340291,,1996,NGO,more than 100,Water for other household and domestic use,,Never,Yes,Shallow well,,,,,,,,6,2,Handpump,,GI,Non-functional,,all parts of the shallow well,more than one year,,8-16 hours,1-3 minutes,Very poor,Very poor,,,poor,Very poor,Very poor,,,,,,,,,,,,all parts need repairs,Pedestal,all parts removed apart from pedestal,,,,,,,,,Rubbish nearby,,,,,,,,,Private operator,,,No,Unknown,,No,,,,,,,,,,,,,,,,,,,,,,
pwmv-mhjg-mxmq,20-03-2021 13:21:26 UTC,ganga nyeko,Agago,Lamiyo,Polcani,Ayam Central,2.78709299,33.1447155,,2014,Government,,Institutional use (school or healthcare facility/ health centre),,Never,No,Deep borehole,,,,,,,,21,2,Handpump,,GI,Non-functional,,all parts apart from pedestal and spout,more than one year,,,,Very poor,Good,,,poor,Very poor,Very poor,,,,,,,,,,,,cylinder and pipes and rod plus headpump,Pumphead,chains and rod pipe has problems,,,,,,,,,NONE-No contamination risk observed,,,,,,,,,Caretaker,,Paid,Yes,WUC/ WSC,Yes,,No,9,6,3,2,Yes,,,Yes,No,,,No,,,,,,,,,
nx6x-pxhe-edxy,20-03-2021 13:46:10 UTC,wang wire,Agago,Lamiyo,Polcani,Ayam Central,2.76779173,33.1467217,,2007,Community,25-50,Water for other household and domestic use,,Never,No,Protected spring,,,,,One,ordinary,One,,,,,I don't know,Non-functional,Partially functioning works with some issues/ difficulties,,,About 1 week in total,8-16 hours,1-3 minutes,,,Very poor,At least one tap/ spout not in use-repair needed,poor,,,Very poor,,,,,,,,,,,all parts need repairs,,,Catchment protection or fence,all parts,,,,,,,,NONE -No contamination risk observed,,Contamination from soil or metals,,Sometimes,Never,Sometimes,not good for drinking water but they are using it,Caretaker,,Unpaid,Yes,WUC/ WSC,Yes,,No,5,5,2,1,Yes,,,No,No,3 months to 1 year ago,,No,No,,,,,,,,
nx6x-pxhe-edxy,31-03-2021 18:21:26 UTC,wang wire,Agago,Lamiyo,Polcani,Ayam Central,2.76779173,33.1467217,,2007,Community,25-50,Water for other household and domestic use,,Never,No,Protected spring,,,,,One,ordinary,One,,,,,I don't know,Functional in use,Partially functioning works with some issues/ difficulties,,,About 1 week in total,8-16 hours,1-3 minutes,,,Very poor,At least one tap/ spout not in use-repair needed,poor,,,Very poor,,,,,,,,,,,all parts need repairs,,,Catchment protection or fence,all parts,,,,,,,,NONE -No contamination risk observed,,Contamination from soil or metals,,Sometimes,Never,Sometimes,not good for drinking water but they are using it,Caretaker,,Unpaid,Yes,WUC/ WSC,Yes,,No,5,5,2,1,Yes,,,No,No,3 months to 1 year ago,,No,No,,,,,,,,
1vqe-xavh-75nc,20-03-2021 14:41:12 UTC,wang odee,Agago,Lamiyo,Polcani,Labongo Dero,2.7944378,33.1385346,,2009,NGO,25-50,Water for other household and domestic use,,Never,No,Shallow well,,,,,,,,9,2,Handpump,,GI,Functional in use,,all parts has been removed need another one,more than one year,,8-16 hours,1-3 minutes,Very poor,Very poor,,,not there has been removed,Very poor,Very poor,,,,,,,,,,,,all parts need repairs,Pedestal,all parts,,,,,,,,,Animal excreta nearby,,,,,,,,,Caretaker,,Paid,Yes,WUC/ WSC,No,,No,9,7,4,1,No,,,No,No,,,No,,,,,,,,,
1vqe-xavh-75nc,31-03-2021 18:31:01 UTC,wang odee,Agago,Lamiyo,Polcani,Labongo Dero,2.7944378,33.1385346,,2009,NGO,25-50,Water for other household and domestic use,,Never,No,Shallow well,,,,,,,,9,2,Handpump,,GI,Non-functional,,all parts has been removed need another one,more than one year,,8-16 hours,1-3 minutes,Very poor,Very poor,,,not there has been removed,Very poor,Very poor,,,,,,,,,,,,all parts need repairs,Pedestal,all parts,,,,,,,,,Animal excreta nearby,,,,,,,,,Caretaker,,Paid,Yes,WUC/ WSC,No,,No,9,7,4,1,No,,,No,No,,,No,,,,,,,,,
y7r8-pa7u-f7bv,20-03-2021 14:56:16 UTC,wang marin,Agago,Lamiyo,Polcani,Ayam Central,2.79664659,33.1365822,,1954,Community,25-50,Water for other household and domestic use,,Never,Yes,Protected spring,,,,,One,ordinary,One,,,,,I don't know,Functional in use,,all parts need repairs,more than 20 days but less than one year,More than 3 weeks total,8-16 hours,1-3 minutes,,,Very poor,At least one tap/ spout not in use- abandoned or never used,very poor,,,Very poor,,,,,,,,,,,all parts has been removed,,,Catchment protection or fence,all parts apart,,,,,,,,Animal at the catchment,,,,,,,,Caretaker,,Unpaid,Yes,WUC/ WSC,Yes,,No,6,4,2,1,No,,,No,No,,,No,,,,,,,,,
y7r8-pa7u-f7bv,31-03-2021 18:15:05 UTC,wang marin,Agago,Lamiyo,Polcani,Ayam Central,2.79664659,33.1365822,,1954,Community,25-50,Water for other household and domestic use,,Never,Yes,Protected spring,,,,,One,ordinary,One,,,,,I don't know,Non-functional,,all parts need repairs,more than 20 days but less than one year,More than 3 weeks total,8-16 hours,1-3 minutes,,,Very poor,At least one tap/ spout not in use- abandoned or never used,very poor,,,Very poor,,,,,,,,,,,all parts has been removed,,,Catchment protection or fence,all parts apart,,,,,,,,Animal at the catchment,,,,,,,,Caretaker,,Unpaid,Yes,WUC/ WSC,Yes,,No,6,4,2,1,No,,,No,No,,,No,,,,,,,,,
y7r8-pa7u-f7bv,31-03-2021 18:17:38 UTC,wang marin,Agago,Lamiyo,Polcani,Ayam Central,2.79664659,33.1365822,,1954,Community,25-50,Water for other household and domestic use,,Never,Yes,Protected spring,,,,,One,ordinary,One,,,,,I don't know,Non-functional,,all parts need repairs,more than 20 days but less than one year,More than 3 weeks total,8-16 hours,1-3 minutes,,,Very poor,At least one tap/ spout not in use- abandoned or never used,very poor,,,Very poor,,,,,,,,,,,all parts has been removed,,,Catchment protection or fence,all parts apart,,,,,,,,Animal at the catchment,,,,,,,,Caretaker,,Unpaid,Yes,WUC/ WSC,Yes,,No,6,4,2,1,No,,,No,No,,,No,,,,,,,,,
y7r8-pa7u-f7bv,31-03-2021 18:18:00 UTC,wang marin,Agago,Lamiyo,Polcani,Ayam Central,2.79664659,33.1365822,,1954,Community,25-50,Water for other household and domestic use,,Never,Yes,Protected spring,,,,,One,ordinary,One,,,,,I don't know,Non-functional,,all parts need repairs,more than 20 days but less than one year,More than 3 weeks total,8-16 hours,1-3 minutes,,,Very poor,At least one tap/ spout not in use- abandoned or never used,very poor,,,Very poor,,,,,,,,,,,all parts has been removed,,,Catchment protection or fence,all parts apart,,,,,,,,Animal at the catchment,,,,,,,,Caretaker,,Unpaid,Yes,WUC/ WSC,Yes,,No,6,4,2,1,No,,,No,No,,,No,,,,,,,,,
1w4u-51pp-dvge,20-03-2021 15:18:02 UTC,wang olam,Agago,Lamiyo,Polcani,Labongo Dero,2.79947075,33.1267802,24247,2007,NGO,50-100,Water for other household and domestic use,,Never,Yes,Deep borehole,,,,,,,,12,2,Handpump,,GI,Non-functional,Barely functioning (almost not functioning),,,More than 3 weeks total,8-16 hours,more than 3 minutes,Very poor,Very poor,,,poor,Good,Good,,,,,,,,,,,,nuts and pipes and cylinder has problems,Drainage channel,"nuts,pipes,cylinder",,,,,,,,,Livelihood activity nearby (e.g. brickmaking),,,No concern- water is clean,,Sometimes,Never,Rarely,Good water,Caretaker,,Unpaid,Yes,WUC/ WSC,Yes,,No,9,4,3,1,Yes,,,Yes,No,Never,,Yes,Users contribute fees only when repair is needed,2000,,,,,,,
1w4u-51pp-dvge,31-03-2021 18:30:42 UTC,wang olam,Agago,Lamiyo,Polcani,Labongo Dero,2.79947075,33.1267802,24247,2007,NGO,50-100,Water for other household and domestic use,,Never,Yes,Deep borehole,,,,,,,,12,2,Handpump,,GI,Functional in use,Barely functioning (almost not functioning),,,More than 3 weeks total,8-16 hours,more than 3 minutes,Very poor,Very poor,,,poor,Good,Good,,,,,,,,,,,,nuts and pipes and cylinder has problems,Drainage channel,"nuts,pipes,cylinder",,,,,,,,,Livelihood activity nearby (e.g. brickmaking),,,No concern- water is clean,,Sometimes,Never,Rarely,Good water,Caretaker,,Unpaid,Yes,WUC/ WSC,Yes,,No,9,4,3,1,Yes,,,Yes,No,Never,,Yes,Users contribute fees only when repair is needed,2000,,,,,,,
ahrd-2kdh-pcjx,20-03-2021 15:43:25 UTC,labongedero,Agago,Lamiyo,Polcani,Labongo Dero,2.79269201,33.1259484,46798,2015,Government,50-100,Water for other household and domestic use,,Never,No,Deep borehole,,,,,,,,24,2,Handpump,,GI,Functional in use,Partially functioning works with some issues/ difficulties,,,More than 3 weeks total,8-16 hours,1-3 minutes,Fair (moderate),Good,,,good,Good,Good,,,,,,,,,,,,pipes are few,Apron,pipes are few,,,,,,,,,NONE-No contamination risk observed,,,No concern- water is clean,,Sometimes,Never,Rarely,goos quality,Caretaker,,Unpaid,Yes,WUC/ WSC,Yes,,No,9,4,2,1,Yes,Yes,Yes,Yes,No,Never,,Yes,Yes,,,if the borehole has problems,,,,86,No
ahrd-2kdh-pcjx,31-03-2021 18:26:49 UTC,labongedero,Agago,Lamiyo,Polcani,Labongo Dero,2.79269201,33.1259484,46798,2015,Government,50-100,Water for other household and domestic use,,Never,No,Deep borehole,,,,,,,,24,2,Handpump,,GI,Functional in use,Partially functioning works with some issues/ difficulties,,,More than 3 weeks total,8-16 hours,1-3 minutes,Fair (moderate),Good,,,good,Good,Good,,,,,,,,,,,,pipes are few,Apron,pipes are few,,,,,,,,,NONE-No contamination risk observed,,,No concern- water is clean,,Sometimes,Never,Rarely,goos quality,Caretaker,,Unpaid,Yes,WUC/ WSC,Yes,,No,9,4,2,1,Yes,Yes,Yes,Yes,No,Never,,Yes,Yes,,,if the borehole has problems,,,,86,No
v6e6-f8pq-peue,20-03-2021 15:59:13 UTC,wang agwera,Agago,Lamiyo,Polcani,Labongo Dero,2.79027538,33.1175693,,1942,Community,25-50,Agriculture (crops or animals),,Never,No,Protected spring,,,,,One,ordinary,One,,,,,I don't know,Functional in use,Partially functioning works with some issues/ difficulties,,,More than 3 weeks total,8-16 hours,1-3 minutes,,,Very poor,At least one tap/ spout not in use- abandoned or never used,poor,,,Very poor,,,,,,,,,,,all parts,,,Spouts/ taps,all parts,,,,,,,,Animal at the catchment,,Contamination from soil or metals,,Sometimes,Sometimes,Rarely,not good,Caretaker,,Unpaid,Yes,WUC/ WSC,Yes,,No,9,3,1,1,No,,,No,No,Never,,No,No,,,,,,,,
v6e6-f8pq-peue,31-03-2021 18:18:24 UTC,wang agwera,Agago,Lamiyo,Polcani,Labongo Dero,2.79027538,33.1175693,,1942,Community,25-50,Agriculture (crops or animals),,Never,No,Protected spring,,,,,One,ordinary,One,,,,,I don't know,Functional in use,Partially functioning works with some issues/ difficulties,,,More than 3 weeks total,8-16 hours,1-3 minutes,,,Very poor,At least one tap/ spout not in use- abandoned or never used,poor,,,Very poor,,,,,,,,,,,all parts,,,Spouts/ taps,all parts,,,,,,,,Animal at the catchment,,Contamination from soil or metals,,Sometimes,Sometimes,Rarely,not good,Caretaker,,Unpaid,Yes,WUC/ WSC,Yes,,No,9,3,1,1,No,,,No,No,Never,,No,No,,,,,,,,
ap47-e1em-uhyc,20-03-2021 16:17:23 UTC,wang apirin,Agago,Lamiyo,Polcani,Labongo Dero,2.78455277,33.1288762,,2009,NGO,less than 25,Water for other household and domestic use,,Never,No,Shallow well,,,,,,,,6,2,Handpump,,GI,Functional in use,,positions not good,more than one year,,8-16 hours,1-3 minutes,Good,Good,,,poor,Good,Very poor,,,,,,,,,,,,all parts,Pedestal,all parts,,,,,,,,,Rubbish nearby,,,,,,,,,Caretaker,,Unpaid,Yes,WUC/ WSC,No,,No,8,3,2,1,No,,,No,No,,,No,,,,,,,,,
ap47-e1em-uhyc,31-03-2021 17:54:18 UTC,wang apirin,Agago,Lamiyo,Polcani,Labongo Dero,2.78455277,33.1288762,,2009,NGO,less than 25,Water for other household and domestic use,,Never,No,Shallow well,,,,,,,,6,2,Handpump,,GI,Non-functional,,positions not good,more than one year,,8-16 hours,1-3 minutes,Good,Good,,,poor,Good,Very poor,,,,,,,,,,,,all parts,Pedestal,all parts,,,,,,,,,Rubbish nearby,,,,,,,,,Caretaker,,Unpaid,Yes,WUC/ WSC,No,,No,8,3,2,1,No,,,No,No,,,No,,,,,,,,,
7ktq-qdv8-6skg,20-03-2021 16:23:27 UTC,wang alengo,Agago,Lamiyo,Polcani,Labongo Dero,2.78658181,33.1310538,,1936,Community,,Water for other household and domestic use,,Never,No,Protected spring,,,,,One,ordinary,One,,,,,I don't know,Functional in use,Barely functioning (almost not functioning),,,Unknown,,,,,Very poor,At least one tap/ spout not in use- abandoned or never used,poor,,,Very poor,,,,,,,,,,,all parts,,,Spouts/ taps,all parts,,,,,,,,Animal at the catchment,,Contamination from animals or human feces (e.g. latrines or OD),,Always - problems with colour,Sometimes,Sometimes,not good at all,,no,,Yes,WUC/ WSC,No,,No,7,5,2,1,No,,,No,No,Never,,No,Users contribute fees only when repair is needed,1000,,,,,,,
7ktq-qdv8-6skg,31-03-2021 18:28:24 UTC,wang alengo,Agago,Lamiyo,Polcani,Labongo Dero,2.78658181,33.1310538,,1936,Community,,Water for other household and domestic use,,Never,No,Protected spring,,,,,One,ordinary,One,,,,,I don't know,Functional in use,Barely functioning (almost not functioning),,,Unknown,,,,,Very poor,At least one tap/ spout not in use- abandoned or never used,poor,,,Very poor,,,,,,,,,,,all parts,,,Spouts/ taps,all parts,,,,,,,,Animal at the catchment,,Contamination from animals or human feces (e.g. latrines or OD),,Always - problems with colour,Sometimes,Sometimes,not good at all,,no,,Yes,WUC/ WSC,No,,No,7,5,2,1,No,,,No,No,Never,,No,Users contribute fees only when repair is needed,1000,,,,,,,
jhu8-v2fg-d658,21-03-2021 07:23:03 UTC,Tangi Abone north,Agago,Lira Palwo,Omongo,Bad Munu,2.8007615,33.1615422,33015,2010,NGO,,Water for other household and domestic use,,Never,No,Deep borehole,,,,,,,,32,2,Handpump,,GI,Non-functional,,there is a problem with the connecting rode and the pipes,6 to 10 days,More than 3 weeks total,,,Very poor,Good,,,fair,Good,Fair (moderate),,,,,,,,,,,,apron requires total repair,Handle,,,,,,,,,,NONE-No contamination risk observed,,,,,,,,,Caretaker,,Paid,Yes,WUC/ WSC,Yes,,Yes,9,4,1,1,No,,,Yes,No,,,Yes,,,,,,,,,
wf9e-rv11-wpb4,21-03-2021 08:44:20 UTC,Awen West,Agago,Lira Palwo TC,Pyergweng Ward,Awen West,2.80037072,33.1704076,42912,2014,NGO,50-100,Water for other household and domestic use,,Never,Yes,Deep borehole,,,,,,,,24,2,Handpump,,PVC,Non-functional,Partially functioning works with some issues/ difficulties,,,It was never broken down,8-16 hours,1-3 minutes,Fair (moderate),Good,,,good,Good,Fair (moderate),,,,,,,,,,,,no technical problem except the hand pump that requires replacement,Handle,,,,,,,,,,NONE-No contamination risk observed,,,No concern- water is clean,,Never,Never,Rarely,watet quality taste needs to be done,Caretaker,,Paid,Yes,WUC/ WSC,No,,Yes,5,2,3,1,Yes,,,Yes,No,Never,,Yes,Users contribute fees only when repair is needed,1000,,,,,,,
7ahv-wr91-4bep,22-03-2021 05:47:16 UTC,wang okango,Agago,Lamiyo,Otaka,Alyek Central,2.78313413,33.1011183,,2015,Government,50-100,Water for other household and domestic use,,Never,Yes,Deep borehole,,,,,,,,15,2,Handpump,,GI,Functional in use,Partially functioning works with some issues/ difficulties,,,About 1 week in total,8-16 hours,1-3 minutes,Fair (moderate),Excellent,,,poor,Excellent,Excellent,,,,,,,,,,,,plate cover and chains need repairs,Drainage channel,plate cover and chains,,,,,,,,,Livelihood activity nearby (e.g. brickmaking),,,No concern- water is clean,,Sometimes,Never,Rarely,Good water,Caretaker,,Unpaid,Yes,WUC/ WSC,Yes,,No,10,5,2,1,Yes,No,Yes,Yes,No,Never,,No,Yes,,Fixed tariff per month,,2000,,,50,Yes
7ahv-wr91-4bep,31-03-2021 18:28:43 UTC,wang okango,Agago,Lamiyo,Otaka,Alyek Central,2.78313413,33.1011183,,2015,Government,50-100,Water for other household and domestic use,,Never,Yes,Deep borehole,,,,,,,,15,2,Handpump,,GI,Functional in use,Partially functioning works with some issues/ difficulties,,,About 1 week in total,8-16 hours,1-3 minutes,Fair (moderate),Excellent,,,poor,Excellent,Excellent,,,,,,,,,,,,plate cover and chains need repairs,Drainage channel,plate cover and chains,,,,,,,,,Livelihood activity nearby (e.g. brickmaking),,,No concern- water is clean,,Sometimes,Never,Rarely,Good water,Caretaker,,Unpaid,Yes,WUC/ WSC,Yes,,No,10,5,2,1,Yes,No,Yes,Yes,No,Never,,No,Yes,,Fixed tariff per month,,2000,,,50,Yes
fhut-nnsh-rrgq,22-03-2021 06:26:55 UTC,olyek bh,Agago,Lamiyo,Otaka,Alyek Central,2.76762815,33.0927459,46553,2016,NGO,more than 100,Water for other household and domestic use,,Never,No,Deep borehole,,,,,,,,15,2,Handpump,,GI,Functional in use,Partially functioning works with some issues/ difficulties,,,More than 3 weeks total,8-16 hours,1-3 minutes,Poor,Good,,,fair,Excellent,Fair (moderate),,,,,,,,,,,,pipes has rusted,Apron,pipes,,,,,,,,,Livelihood activity nearby (e.g. brickmaking),,,No concern- water is clean,,Sometimes,Never,Rarely,good quality,Caretaker,,Unpaid,Yes,WUC/ WSC,Yes,,No,9,3,8,4,No,No,Yes,Yes,No,3 months to 1 year ago,,No,Yes,,Fixed tariff per month,,2000,,,100,Yes
fhut-nnsh-rrgq,31-03-2021 18:24:14 UTC,olyek bh,Agago,Lamiyo,Otaka,Alyek Central,2.76762815,33.0927459,46553,2016,NGO,more than 100,Water for other household and domestic use,,Never,No,Deep borehole,,,,,,,,15,2,Handpump,,GI,Functional in use,Partially functioning works with some issues/ difficulties,,,More than 3 weeks total,8-16 hours,1-3 minutes,Poor,Good,,,fair,Excellent,Fair (moderate),,,,,,,,,,,,pipes has rusted,Apron,pipes,,,,,,,,,Livelihood activity nearby (e.g. brickmaking),,,No concern- water is clean,,Sometimes,Never,Rarely,good quality,Caretaker,,Unpaid,Yes,WUC/ WSC,Yes,,No,9,3,8,4,No,No,Yes,Yes,No,3 months to 1 year ago,,No,Yes,,Fixed tariff per month,,2000,,,100,Yes
cesv-gkbx-qm2t,22-03-2021 06:44:30 UTC,wang lagada,Agago,Lamiyo,Otaka,Alyek Central,2.77057288,33.1025884,,2011,NGO,50-100,Water for other household and domestic use,,Never,Yes,Shallow well,,,,,,,,9,2,Handpump,,GI,Functional in use,Partially functioning works with some issues/ difficulties,,,,8-16 hours,more than 3 minutes,Fair (moderate),Good,,,good,Fair (moderate),Fair (moderate),,,,,,,,,,,,handle,Handle,they need borehole not shallow well because its up and down,,,,,,,,,Animal excreta nearby,,,No concern- water is clean,,Never,Never,Rarely,good quality,,no,,Yes,WUC/ WSC,Yes,,Yes,9,2,6,1,Yes,No,Yes,Yes,No,Never,,Yes,Yes,,Fixed tariff per month,,2000,,,80,No
cesv-gkbx-qm2t,31-03-2021 18:25:37 UTC,wang lagada,Agago,Lamiyo,Otaka,Alyek Central,2.77057288,33.1025884,,2011,NGO,50-100,Water for other household and domestic use,,Never,Yes,Shallow well,,,,,,,,9,2,Handpump,,GI,Functional in use,Partially functioning works with some issues/ difficulties,,,,8-16 hours,more than 3 minutes,Fair (moderate),Good,,,good,Fair (moderate),Fair (moderate),,,,,,,,,,,,handle,Handle,they need borehole not shallow well because its up and down,,,,,,,,,Animal excreta nearby,,,No concern- water is clean,,Never,Never,Rarely,good quality,,no,,Yes,WUC/ WSC,Yes,,Yes,9,2,6,1,Yes,No,Yes,Yes,No,Never,,Yes,Yes,,Fixed tariff per month,,2000,,,80,No
x9cw-jpt6-8v6a,22-03-2021 06:40:08 UTC,Tee kworo,Agago,Agengo,Agengo,Akuri,2.80091283,33.1859742,33017,2010,NGO,50-100,Water for other household and domestic use,,Never,No,Deep borehole,,,,,,,,27,2,Handpump,,GI,Functional in use,Partially functioning works with some issues/ difficulties,,,More than 3 weeks total,8-16 hours,1-3 minutes,Good,Good,,,good,Good,Fair (moderate),,,,,,,,,,,,some nats are missing,NONE,,,,,,,,,,NONE-No contamination risk observed,,,No concern- water is clean,,Never,Never,Rarely,no concern,,the management is with the LC1,,No,Private operator,,No,,,,,,,,,,,Never,Yes,,Users contribute fees only when repair is needed,1500,,,,,,,
5s0b-md7a-271r,22-03-2021 07:03:07 UTC,wang akwany,Agago,Lamiyo,Otaka,Alyek Central,2.76683305,33.09859,,2009,NGO,,,,,No,Shallow well,,,,,,,,9,2,Handpump,,,Functional in use,,,,,,,,,,,very poor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5s0b-md7a-271r,31-03-2021 18:29:44 UTC,wang akwany,Agago,Lamiyo,Otaka,Alyek Central,2.76683305,33.09859,,2009,NGO,,,,,No,Shallow well,,,,,,,,9,2,Handpump,,,Decomissioned,,,,,,,,,,,very poor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d1mf-x4sa-q11n,22-03-2021 07:36:18 UTC,school tank,Agago,Lamiyo,Otaka,Alyek Central,2.76619363,33.0930804,,2009,Government,,,,,No,Rain water harvesting tank,,,,10000,,,,,,,,,Functional in use,,,,,,,,,,,poor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
